id,menu_page_id,price,high_price,dish_id,created_at,updated_at,xpos,ypos,price_original
1,1,0.75,,1,1899-12-31 10:00:00,1899-12-31 10:00:00,150,200,
2,1,3.25,,2,1899-12-31 10:00:00,1899-12-31 10:00:00,150,250,
3,1,0.5,,4,1899-12-31 10:00:00,1899-12-31 10:00:00,150,300,
4,1,2.75,,5,1899-12-31 10:00:00,1899-12-31 10:00:00,150,350,
5,2,1.75,,7,1899-12-31 10:00:00,1899-12-31 10:00:00,150,200,
6,2,1.0,,8,1899-12-31 10:00:00,1899-12-31 10:00:00,150,250,
7,2,0.25,,11,1899-12-31 10:00:00,1899-12-31 10:00:00,150,300,
8,2,0.35,,15,1899-12-31 10:00:00,1899-12-31 10:00:00,150,350,
9,5,2.5,5.0,3,1905-06-15 14:30:00,1905-06-15 14:30:00,200,180,
10,5,4.0,,6,1905-06-15 14:30:00,1905-06-15 14:30:00,200,230,
11,5,1.5,,10,1905-06-15 14:30:00,1905-06-15 14:30:00,200,280,
12,5,0.5,,12,1905-06-15 14:30:00,1905-06-15 14:30:00,200,330,
13,6,2.0,,18,1905-06-15 14:30:00,1905-06-15 14:30:00,200,180,
14,6,1.25,,14,1905-06-15 14:30:00,1905-06-15 14:30:00,200,230,
15,7,5.0,,3,1910-03-20 19:00:00,1910-03-20 19:00:00,175,160,
16,7,6.25,,6,1910-03-20 19:00:00,1910-03-20 19:00:00,175,210,
17,7,2.25,,9,1910-03-20 19:00:00,1910-03-20 19:00:00,175,260,
18,7,3.5,,17,1910-03-20 19:00:00,1910-03-20 19:00:00,175,310,
19,8,0.85,,19,1910-03-20 19:00:00,1910-03-20 19:00:00,175,160,
20,8,0.75,,13,1910-03-20 19:00:00,1910-03-20 19:00:00,175,210,
21,10,4.5,,5,1915-04-10 11:00:00,1915-04-10 11:00:00,180,190,
22,10,3.25,,10,1915-04-10 11:00:00,1915-04-10 11:00:00,180,240,
23,10,1.0,,20,1915-04-10 11:00:00,1915-04-10 11:00:00,180,290,
24,11,2.25,,8,1915-04-10 11:00:00,1915-04-10 11:00:00,180,190,
25,11,1.75,,13,1915-04-10 11:00:00,1915-04-10 11:00:00,180,240,
26,12,8.75,,2,1920-11-25 18:00:00,1920-11-25 18:00:00,160,170,
27,12,2.5,,1,1920-11-25 18:00:00,1920-11-25 18:00:00,160,220,
28,12,3.5,,7,1920-11-25 18:00:00,1920-11-25 18:00:00,160,270,
29,12,4.75,,9,1920-11-25 18:00:00,1920-11-25 18:00:00,160,320,
30,12,7.0,,17,1920-11-25 18:00:00,1920-11-25 18:00:00,160,370,
31,12,2.5,,20,1920-11-25 18:00:00,1920-11-25 18:00:00,160,420,
32,12,0.75,,11,1920-11-25 18:00:00,1920-11-25 18:00:00,160,470,
33,12,0.85,,15,1920-11-25 18:00:00,1920-11-25 18:00:00,160,520,
34,1,0.6,,16,1899-12-31 10:00:00,1899-12-31 10:00:00,150,400,
35,5,1.8,,16,1905-06-15 14:30:00,1905-06-15 14:30:00,200,380,
